"family","GO_accession","GO_name","GO_domain"
"ENSG00000288157","GO:0007186","G protein-coupled receptor signaling pathway","biological_process"
"ENSG00000288499","GO:0006468","protein phosphorylation","biological_process"
"ENSG00000281934","GO:0043066","negative regulation of apoptotic process","biological_process"
"ENSG00000281934","GO:0045892","negative regulation of DNA-templated transcription","biological_process"
"ENSG00000281934","GO:0008284","positive regulation of cell population proliferation","biological_process"
"ENSG00000288297","GO:0006915","apoptotic process","biological_process"
"ENSG00000288297","GO:0030154","cell differentiation","biological_process"
"ENSG00000288297","GO:0001525","angiogenesis","biological_process"
"ENSG00000282817","GO:0043066","negative regulation of apoptotic process","biological_process"
"ENSG00000282817","GO:0045892","negative regulation of DNA-templated transcription","biological_process"
"ENSG00000282817","GO:0008284","positive regulation of cell population proliferation","biological_process"
"ENSG00000282584","GO:0043066","negative regulation of apoptotic process","biological_process"
"ENSG00000282584","GO:0045892","negative regulation of DNA-templated transcription","biological_process"
"ENSG00000282584","GO:0008284","positive regulation of cell population proliferation","biological_process"
"ENSG00000282663","GO:0043066","negative regulation of apoptotic process","biological_process"
"ENSG00000282663","GO:0045892","negative regulation of DNA-templated transcription","biological_process"
"ENSG00000282663","GO:0008284","positive regulation of cell population proliferation","biological_process"
"ENSG00000279195","GO:0043066","negative regulation of apoptotic process","biological_process"
"ENSG00000279195","GO:0045892","negative regulation of DNA-templated transcription","biological_process"
"ENSG00000279195","GO:0008284","positive regulation of cell population proliferation","biological_process"
"ENSG00000282338","GO:0000244","spliceosomal tri-snRNP complex assembly","biological_process"
"ENSG00000282338","GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","biological_process"
"ENSG00000288243","GO:0006914","autophagy","biological_process"
"ENSG00000288243","GO:0051607","defense response to virus","biological_process"
"ENSG00000288243","GO:0045087","innate immune response","biological_process"
"ENSG00000288243","GO:0034220","monoatomic ion transmembrane transport","biological_process"
"ENSG00000288243","GO:1902600","proton transmembrane transport","biological_process"
"ENSG00000288243","GO:0045944","positive regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000282119","GO:0043066","negative regulation of apoptotic process","biological_process"
"ENSG00000282119","GO:0045892","negative regulation of DNA-templated transcription","biological_process"
"ENSG00000282119","GO:0008284","positive regulation of cell population proliferation","biological_process"
"ENSG00000282119","GO:0016567","protein ubiquitination","biological_process"
"ENSG00000282119","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","biological_process"
"ENSG00000282437","GO:0043066","negative regulation of apoptotic process","biological_process"
"ENSG00000282437","GO:0045892","negative regulation of DNA-templated transcription","biological_process"
"ENSG00000282437","GO:0008284","positive regulation of cell population proliferation","biological_process"
"ENSG00000291382","GO:0015031","protein transport","biological_process"
"ENSG00000291382","GO:0030030","cell projection organization","biological_process"
"ENSG00000291382","GO:0060271","cilium assembly","biological_process"
"ENSG00000282566","GO:0043066","negative regulation of apoptotic process","biological_process"
"ENSG00000282566","GO:0045892","negative regulation of DNA-templated transcription","biological_process"
"ENSG00000282566","GO:0008284","positive regulation of cell population proliferation","biological_process"
"ENSG00000281987","GO:0043066","negative regulation of apoptotic process","biological_process"
"ENSG00000281987","GO:0045892","negative regulation of DNA-templated transcription","biological_process"
"ENSG00000281987","GO:0008284","positive regulation of cell population proliferation","biological_process"
"ENSG00000291380","GO:0006897","endocytosis","biological_process"
"ENSG00000291380","GO:0015031","protein transport","biological_process"
"ENSG00000291380","GO:0016192","vesicle-mediated transport","biological_process"
"ENSG00000282298","GO:0043066","negative regulation of apoptotic process","biological_process"
"ENSG00000282298","GO:0045892","negative regulation of DNA-templated transcription","biological_process"
"ENSG00000282298","GO:0008284","positive regulation of cell population proliferation","biological_process"
"ENSG00000282741","GO:0043066","negative regulation of apoptotic process","biological_process"
"ENSG00000282741","GO:0045892","negative regulation of DNA-templated transcription","biological_process"
"ENSG00000282741","GO:0008284","positive regulation of cell population proliferation","biological_process"
"ENSG00000282212","GO:0043066","negative regulation of apoptotic process","biological_process"
"ENSG00000282212","GO:0045892","negative regulation of DNA-templated transcription","biological_process"
"ENSG00000282212","GO:0008284","positive regulation of cell population proliferation","biological_process"
"ENSG00000291389","GO:0000395","mRNA 5'-splice site recognition","biological_process"
"ENSG00000291392","GO:0006412","translation","biological_process"
"ENSG00000282424","GO:0043066","negative regulation of apoptotic process","biological_process"
"ENSG00000282424","GO:0045892","negative regulation of DNA-templated transcription","biological_process"
"ENSG00000282424","GO:0008284","positive regulation of cell population proliferation","biological_process"
"ENSG00000282288","GO:0000244","spliceosomal tri-snRNP complex assembly","biological_process"
"ENSG00000282288","GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","biological_process"
"ENSG00000291385","GO:0000395","mRNA 5'-splice site recognition","biological_process"
"ENSG00000291408","GO:0006412","translation","biological_process"
"ENSG00000282583","GO:0043066","negative regulation of apoptotic process","biological_process"
"ENSG00000282583","GO:0045892","negative regulation of DNA-templated transcription","biological_process"
"ENSG00000282583","GO:0008284","positive regulation of cell population proliferation","biological_process"
"ENSG00000291400","GO:0006412","translation","biological_process"
"ENSG00000282125","GO:0043066","negative regulation of apoptotic process","biological_process"
"ENSG00000282125","GO:0045892","negative regulation of DNA-templated transcription","biological_process"
"ENSG00000282125","GO:0008284","positive regulation of cell population proliferation","biological_process"
"ENSG00000293551","GO:0043066","negative regulation of apoptotic process","biological_process"
"ENSG00000293551","GO:0045892","negative regulation of DNA-templated transcription","biological_process"
"ENSG00000293551","GO:0008284","positive regulation of cell population proliferation","biological_process"
"ENSG00000291396","GO:0000395","mRNA 5'-splice site recognition","biological_process"
"ENSG00000291399","GO:0000395","mRNA 5'-splice site recognition","biological_process"
"ENSG00000291387","GO:0006338","chromatin remodeling","biological_process"
"ENSG00000262851","GO:0007186","G protein-coupled receptor signaling pathway","biological_process"
"ENSG00000262851","GO:0007608","sensory perception of smell","biological_process"
"ENSG00000262851","GO:0050911","detection of chemical stimulus involved in sensory perception of smell","biological_process"
"ENSG00000261897","GO:0007186","G protein-coupled receptor signaling pathway","biological_process"
"ENSG00000261897","GO:0007608","sensory perception of smell","biological_process"
"ENSG00000261897","GO:0050911","detection of chemical stimulus involved in sensory perception of smell","biological_process"
"ENSG00000262784","GO:0007186","G protein-coupled receptor signaling pathway","biological_process"
"ENSG00000262784","GO:0007608","sensory perception of smell","biological_process"
"ENSG00000262784","GO:0050911","detection of chemical stimulus involved in sensory perception of smell","biological_process"
"ENSG00000262611","GO:0007186","G protein-coupled receptor signaling pathway","biological_process"
"ENSG00000262611","GO:0007608","sensory perception of smell","biological_process"
"ENSG00000262611","GO:0050911","detection of chemical stimulus involved in sensory perception of smell","biological_process"
"ENSG00000262755","GO:0007186","G protein-coupled receptor signaling pathway","biological_process"
"ENSG00000262755","GO:0007608","sensory perception of smell","biological_process"
"ENSG00000262755","GO:0050911","detection of chemical stimulus involved in sensory perception of smell","biological_process"
"ENSG00000263328","GO:0007186","G protein-coupled receptor signaling pathway","biological_process"
"ENSG00000263328","GO:0007608","sensory perception of smell","biological_process"
"ENSG00000263328","GO:0050911","detection of chemical stimulus involved in sensory perception of smell","biological_process"
"ENSG00000262796","GO:0007186","G protein-coupled receptor signaling pathway","biological_process"
"ENSG00000262796","GO:0007608","sensory perception of smell","biological_process"
"ENSG00000262796","GO:0050911","detection of chemical stimulus involved in sensory perception of smell","biological_process"
"ENSG00000262315","GO:0007186","G protein-coupled receptor signaling pathway","biological_process"
"ENSG00000281038","GO:0007186","G protein-coupled receptor signaling pathway","biological_process"
"ENSG00000281038","GO:0007608","sensory perception of smell","biological_process"
"ENSG00000281038","GO:0050911","detection of chemical stimulus involved in sensory perception of smell","biological_process"
"ENSG00000291420","GO:0010628","positive regulation of gene expression","biological_process"
"ENSG00000291420","GO:0030335","positive regulation of cell migration","biological_process"
"ENSG00000291420","GO:0001525","angiogenesis","biological_process"
"ENSG00000288521","GO:0000244","spliceosomal tri-snRNP complex assembly","biological_process"
"ENSG00000288521","GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","biological_process"
"ENSG00000281449","GO:0042981","regulation of apoptotic process","biological_process"
"ENSG00000281449","GO:0006915","apoptotic process","biological_process"
"ENSG00000261958","GO:0007186","G protein-coupled receptor signaling pathway","biological_process"
"ENSG00000262191","GO:0007186","G protein-coupled receptor signaling pathway","biological_process"
"ENSG00000262191","GO:0007608","sensory perception of smell","biological_process"
"ENSG00000262191","GO:0050911","detection of chemical stimulus involved in sensory perception of smell","biological_process"
"ENSG00000262647","GO:0007186","G protein-coupled receptor signaling pathway","biological_process"
"ENSG00000262647","GO:0007608","sensory perception of smell","biological_process"
"ENSG00000262647","GO:0050911","detection of chemical stimulus involved in sensory perception of smell","biological_process"
"ENSG00000281324","GO:0006897","endocytosis","biological_process"
"ENSG00000281324","GO:0016055","Wnt signaling pathway","biological_process"
"ENSG00000281324","GO:0055085","transmembrane transport","biological_process"
"ENSG00000281324","GO:0007399","nervous system development","biological_process"
"ENSG00000281324","GO:0045944","positive regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000281324","GO:0045893","positive regulation of DNA-templated transcription","biological_process"
"ENSG00000291426","GO:0007165","signal transduction","biological_process"
"ENSG00000291426","GO:0006914","autophagy","biological_process"
"ENSG00000291426","GO:0045087","innate immune response","biological_process"
"ENSG00000291426","GO:0006511","ubiquitin-dependent protein catabolic process","biological_process"
"ENSG00000291426","GO:0006954","inflammatory response","biological_process"
"ENSG00000291428","GO:0006468","protein phosphorylation","biological_process"
"ENSG00000291428","GO:0051301","cell division","biological_process"
"ENSG00000291428","GO:0006915","apoptotic process","biological_process"
"ENSG00000291428","GO:0007399","nervous system development","biological_process"
"ENSG00000291428","GO:0035556","intracellular signal transduction","biological_process"
"ENSG00000291428","GO:0030036","actin cytoskeleton organization","biological_process"
"ENSG00000291428","GO:0030182","neuron differentiation","biological_process"
"ENSG00000291442","GO:0007165","signal transduction","biological_process"
"ENSG00000292327","GO:0051726","regulation of cell cycle","biological_process"
"ENSG00000292332","GO:0007166","cell surface receptor signaling pathway","biological_process"
"ENSG00000292333","GO:0007186","G protein-coupled receptor signaling pathway","biological_process"
"ENSG00000292334","GO:0055085","transmembrane transport","biological_process"
"ENSG00000292334","GO:0006915","apoptotic process","biological_process"
"ENSG00000292339","GO:0032259","methylation","biological_process"
"ENSG00000292339","GO:0008150","biological_process","biological_process"
"ENSG00000292344","GO:0006629","lipid metabolic process","biological_process"
"ENSG00000292345","GO:0006355","regulation of DNA-templated transcription","biological_process"
"ENSG00000292345","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000292345","GO:0045944","positive regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000292348","GO:0007155","cell adhesion","biological_process"
"ENSG00000292354","GO:0006355","regulation of DNA-templated transcription","biological_process"
"ENSG00000292354","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000292354","GO:0045944","positive regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000292363","GO:0007166","cell surface receptor signaling pathway","biological_process"
"ENSG00000292363","GO:0008284","positive regulation of cell population proliferation","biological_process"
"ENSG00000292343","GO:0006397","mRNA processing","biological_process"
"ENSG00000292343","GO:0008380","RNA splicing","biological_process"
"ENSG00000292343","GO:0007165","signal transduction","biological_process"
"ENSG00000292343","GO:0006355","regulation of DNA-templated transcription","biological_process"
"ENSG00000292336","GO:0006629","lipid metabolic process","biological_process"
"ENSG00000292336","GO:0032259","methylation","biological_process"
"ENSG00000292336","GO:0006412","translation","biological_process"
"ENSG00000288512","GO:0006508","proteolysis","biological_process"
"ENSG00000288263","GO:0007165","signal transduction","biological_process"
"ENSG00000288263","GO:0006468","protein phosphorylation","biological_process"
"ENSG00000288263","GO:0007601","visual perception","biological_process"
"ENSG00000292366","GO:0016192","vesicle-mediated transport","biological_process"
"ENSG00000292366","GO:0015031","protein transport","biological_process"
"ENSG00000288124","GO:0006508","proteolysis","biological_process"
"ENSG00000288124","GO:0045087","innate immune response","biological_process"
"ENSG00000292373","GO:0007165","signal transduction","biological_process"
"ENSG00000114374","GO:0006508","proteolysis","biological_process"
"ENSG00000114374","GO:0016477","cell migration","biological_process"
"ENSG00000114374","GO:0007283","spermatogenesis","biological_process"
"ENSG00000288427","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","biological_process"
"ENSG00000288427","GO:0098609","cell-cell adhesion","biological_process"
"ENSG00000288427","GO:0007155","cell adhesion","biological_process"
"ENSG00000198692","GO:0006412","translation","biological_process"
"ENSG00000291455","GO:0030154","cell differentiation","biological_process"
"ENSG00000291455","GO:0007283","spermatogenesis","biological_process"
"ENSG00000183753","GO:0007283","spermatogenesis","biological_process"
"ENSG00000291458","GO:0030154","cell differentiation","biological_process"
"ENSG00000291458","GO:0007283","spermatogenesis","biological_process"
"ENSG00000244395","GO:0006397","mRNA processing","biological_process"
"ENSG00000244395","GO:0008380","RNA splicing","biological_process"
"ENSG00000252900","GO:0000244","spliceosomal tri-snRNP complex assembly","biological_process"
"ENSG00000252900","GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","biological_process"
"ENSG00000252689","GO:0006396","RNA processing","biological_process"
"ENSG00000273966","GO:0006338","chromatin remodeling","biological_process"
"ENSG00000169953","GO:0006355","regulation of DNA-templated transcription","biological_process"
"ENSG00000169953","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000251970","GO:0000395","mRNA 5'-splice site recognition","biological_process"
"ENSG00000252766","GO:0000244","spliceosomal tri-snRNP complex assembly","biological_process"
"ENSG00000252766","GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","biological_process"
"ENSG00000252513","GO:0000395","mRNA 5'-splice site recognition","biological_process"
"ENSG00000252166","GO:0000395","mRNA 5'-splice site recognition","biological_process"
"ENSG00000278391","GO:0006338","chromatin remodeling","biological_process"
"ENSG00000252209","GO:0000395","mRNA 5'-splice site recognition","biological_process"
"ENSG00000288217","GO:0015031","protein transport","biological_process"
"ENSG00000284255","GO:0007186","G protein-coupled receptor signaling pathway","biological_process"
"ENSG00000284255","GO:0007608","sensory perception of smell","biological_process"
"ENSG00000284255","GO:0050911","detection of chemical stimulus involved in sensory perception of smell","biological_process"
"ENSG00000292249","GO:0007186","G protein-coupled receptor signaling pathway","biological_process"
"ENSG00000292249","GO:0007608","sensory perception of smell","biological_process"
"ENSG00000292249","GO:0050911","detection of chemical stimulus involved in sensory perception of smell","biological_process"
"ENSG00000012817","GO:0006325","chromatin organization","biological_process"
"ENSG00000012817","GO:0006338","chromatin remodeling","biological_process"
"ENSG00000012817","GO:0006355","regulation of DNA-templated transcription","biological_process"
"ENSG00000172468","GO:0006355","regulation of DNA-templated transcription","biological_process"
"ENSG00000172468","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000176679","GO:0006355","regulation of DNA-templated transcription","biological_process"
"ENSG00000176679","GO:0000122","negative regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000169800","GO:0006397","mRNA processing","biological_process"
"ENSG00000169800","GO:0008380","RNA splicing","biological_process"
"ENSG00000182415","GO:0006338","chromatin remodeling","biological_process"
"ENSG00000182415","GO:0045892","negative regulation of DNA-templated transcription","biological_process"
"ENSG00000182415","GO:0007283","spermatogenesis","biological_process"
"ENSG00000252155","GO:0000244","spliceosomal tri-snRNP complex assembly","biological_process"
"ENSG00000252155","GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","biological_process"
"ENSG00000185894","GO:0007283","spermatogenesis","biological_process"
"ENSG00000205916","GO:0030154","cell differentiation","biological_process"
"ENSG00000205916","GO:0007283","spermatogenesis","biological_process"
"ENSG00000129873","GO:0006338","chromatin remodeling","biological_process"
"ENSG00000129873","GO:0045892","negative regulation of DNA-templated transcription","biological_process"
"ENSG00000129873","GO:0007283","spermatogenesis","biological_process"
"ENSG00000251841","GO:0000244","spliceosomal tri-snRNP complex assembly","biological_process"
"ENSG00000251841","GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","biological_process"
"ENSG00000184895","GO:0030154","cell differentiation","biological_process"
"ENSG00000184895","GO:0000122","negative regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000184895","GO:0045944","positive regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000184895","GO:0010628","positive regulation of gene expression","biological_process"
"ENSG00000184895","GO:0045893","positive regulation of DNA-templated transcription","biological_process"
"ENSG00000184895","GO:0030182","neuron differentiation","biological_process"
"ENSG00000184895","GO:0007420","brain development","biological_process"
"ENSG00000129824","GO:0006412","translation","biological_process"
"ENSG00000067646","GO:0006355","regulation of DNA-templated transcription","biological_process"
"ENSG00000067646","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000067646","GO:0045944","positive regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000067048","GO:0030154","cell differentiation","biological_process"
"ENSG00000067048","GO:0010629","negative regulation of gene expression","biological_process"
"ENSG00000183878","GO:0006338","chromatin remodeling","biological_process"
"ENSG00000183878","GO:0006325","chromatin organization","biological_process"
"ENSG00000183878","GO:0010468","regulation of gene expression","biological_process"
"ENSG00000129864","GO:0007420","brain development","biological_process"
"ENSG00000187191","GO:0030154","cell differentiation","biological_process"
"ENSG00000187191","GO:0007283","spermatogenesis","biological_process"
"ENSG00000188120","GO:0030154","cell differentiation","biological_process"
"ENSG00000188120","GO:0007283","spermatogenesis","biological_process"
"ENSG00000251925","GO:0006396","RNA processing","biological_process"
"ENSG00000285435","GO:0006325","chromatin organization","biological_process"
"ENSG00000092377","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000092377","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","biological_process"
"ENSG00000092377","GO:0045892","negative regulation of DNA-templated transcription","biological_process"
"ENSG00000092377","GO:0045944","positive regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000092377","GO:0050821","protein stabilization","biological_process"
"ENSG00000285426","GO:0016567","protein ubiquitination","biological_process"
"ENSG00000285426","GO:0045893","positive regulation of DNA-templated transcription","biological_process"
"ENSG00000285426","GO:0008284","positive regulation of cell population proliferation","biological_process"
"ENSG00000285426","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","biological_process"
"ENSG00000285183","GO:0006396","RNA processing","biological_process"
"ENSG00000284984","GO:0006897","endocytosis","biological_process"
"ENSG00000205944","GO:0030154","cell differentiation","biological_process"
"ENSG00000205944","GO:0007283","spermatogenesis","biological_process"
"ENSG00000242389","GO:0006397","mRNA processing","biological_process"
"ENSG00000242389","GO:0008380","RNA splicing","biological_process"
"ENSG00000165246","GO:0007155","cell adhesion","biological_process"
"ENSG00000165246","GO:0007268","chemical synaptic transmission","biological_process"
"ENSG00000252625","GO:0000395","mRNA 5'-splice site recognition","biological_process"
"ENSG00000251796","GO:0006396","RNA processing","biological_process"
"ENSG00000252948","GO:0000244","spliceosomal tri-snRNP complex assembly","biological_process"
"ENSG00000252948","GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","biological_process"
"ENSG00000129862","GO:0007420","brain development","biological_process"
"ENSG00000280969","GO:0006412","translation","biological_process"
"ENSG00000280969","GO:0008150","biological_process","biological_process"
"ENSG00000252681","GO:0000395","mRNA 5'-splice site recognition","biological_process"
"ENSG00000099715","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","biological_process"
"ENSG00000099715","GO:0007155","cell adhesion","biological_process"
"ENSG00000099715","GO:0007283","spermatogenesis","biological_process"
"ENSG00000251917","GO:0000395","mRNA 5'-splice site recognition","biological_process"
"ENSG00000172352","GO:0006338","chromatin remodeling","biological_process"
"ENSG00000172352","GO:0045892","negative regulation of DNA-templated transcription","biological_process"
"ENSG00000172352","GO:0007283","spermatogenesis","biological_process"
"ENSG00000183795","GO:0007283","spermatogenesis","biological_process"
"ENSG00000252426","GO:0000395","mRNA 5'-splice site recognition","biological_process"
"ENSG00000172288","GO:0006338","chromatin remodeling","biological_process"
"ENSG00000172288","GO:0045892","negative regulation of DNA-templated transcription","biological_process"
"ENSG00000172288","GO:0007283","spermatogenesis","biological_process"
"ENSG00000226941","GO:0006397","mRNA processing","biological_process"
"ENSG00000226941","GO:0008380","RNA splicing","biological_process"
"ENSG00000242875","GO:0006397","mRNA processing","biological_process"
"ENSG00000242875","GO:0008380","RNA splicing","biological_process"
"ENSG00000242875","GO:0007283","spermatogenesis","biological_process"
"ENSG00000234414","GO:0006397","mRNA processing","biological_process"
"ENSG00000234414","GO:0008380","RNA splicing","biological_process"
"ENSG00000233803","GO:0030154","cell differentiation","biological_process"
"ENSG00000233803","GO:0007283","spermatogenesis","biological_process"
"ENSG00000229549","GO:0030154","cell differentiation","biological_process"
"ENSG00000229549","GO:0007283","spermatogenesis","biological_process"
"ENSG00000228927","GO:0030154","cell differentiation","biological_process"
"ENSG00000228927","GO:0007283","spermatogenesis","biological_process"
"ENSG00000258992","GO:0030154","cell differentiation","biological_process"
"ENSG00000258992","GO:0007283","spermatogenesis","biological_process"
"ENSG00000238074","GO:0030154","cell differentiation","biological_process"
"ENSG00000238074","GO:0007283","spermatogenesis","biological_process"
"ENSG00000236424","GO:0030154","cell differentiation","biological_process"
"ENSG00000236424","GO:0007283","spermatogenesis","biological_process"
"ENSG00000168757","GO:0030154","cell differentiation","biological_process"
"ENSG00000168757","GO:0007283","spermatogenesis","biological_process"
"ENSG00000280774","GO:0006355","regulation of DNA-templated transcription","biological_process"
"ENSG00000280774","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000281320","GO:0006468","protein phosphorylation","biological_process"
"ENSG00000281320","GO:0006281","DNA repair","biological_process"
"ENSG00000281320","GO:0045893","positive regulation of DNA-templated transcription","biological_process"
"ENSG00000280548","GO:0032259","methylation","biological_process"
"ENSG00000280548","GO:0006338","chromatin remodeling","biological_process"
"ENSG00000281221","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","biological_process"
"ENSG00000281221","GO:0006508","proteolysis","biological_process"
"ENSG00000281526","GO:0006355","regulation of DNA-templated transcription","biological_process"
"ENSG00000281526","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000281601","GO:0006355","regulation of DNA-templated transcription","biological_process"
"ENSG00000281601","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000281601","GO:0045944","positive regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000280568","GO:0006355","regulation of DNA-templated transcription","biological_process"
"ENSG00000280568","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000176728","GO:0000395","mRNA 5'-splice site recognition","biological_process"
"ENSG00000283153","GO:0006397","mRNA processing","biological_process"
"ENSG00000283153","GO:0008380","RNA splicing","biological_process"
"ENSG00000283153","GO:0000398","mRNA splicing, via spliceosome","biological_process"
"ENSG00000284383","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000284496","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000284262","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000283767","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000284210","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000283884","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000283955","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000284025","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000283878","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000284181","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000283820","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000283363","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000283949","GO:0006915","apoptotic process","biological_process"
"ENSG00000283949","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000283949","GO:0045944","positive regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000283949","GO:0008285","negative regulation of cell population proliferation","biological_process"
"ENSG00000288498","GO:0035195","miRNA-mediated post-transcriptional gene silencing","biological_process"
"ENSG00000288126","GO:0035195","miRNA-mediated post-transcriptional gene silencing","biological_process"
"ENSG00000288462","GO:0035195","miRNA-mediated post-transcriptional gene silencing","biological_process"
"ENSG00000288505","GO:0030154","cell differentiation","biological_process"
"ENSG00000288505","GO:0007283","spermatogenesis","biological_process"
"ENSG00000288505","GO:0051726","regulation of cell cycle","biological_process"
"ENSG00000288397","GO:0035195","miRNA-mediated post-transcriptional gene silencing","biological_process"
"ENSG00000288152","GO:0007283","spermatogenesis","biological_process"
"ENSG00000288293","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000288293","GO:0043123","positive regulation of canonical NF-kappaB signal transduction","biological_process"
"ENSG00000288453","GO:0016567","protein ubiquitination","biological_process"
"ENSG00000288283","GO:0006355","regulation of DNA-templated transcription","biological_process"
"ENSG00000288283","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000288283","GO:0006955","immune response","biological_process"
"ENSG00000288474","GO:0007165","signal transduction","biological_process"
"ENSG00000288185","GO:0006955","immune response","biological_process"
"ENSG00000288185","GO:0007166","cell surface receptor signaling pathway","biological_process"
"ENSG00000288516","GO:0006468","protein phosphorylation","biological_process"
"ENSG00000288516","GO:0006397","mRNA processing","biological_process"
